     k            crst-ang           q             ang          -t          crst-t
 0.52455964E+01 0.43862704E-01 0.72000000E+01 0.00000000E+00 0.25910597E+01 0.36485298E-02
 0.52555964E+01 0.46582185E-01 0.72000000E+01 0.00000000E+00 0.25710922E+01 0.38673655E-02
 0.52655964E+01 0.49455990E-01 0.72000000E+01 0.00000000E+00 0.25511855E+01 0.40981581E-02
 0.52755964E+01 0.52491748E-01 0.72000000E+01 0.00000000E+00 0.25313395E+01 0.43414704E-02
 0.52855964E+01 0.55697483E-01 0.72000000E+01 0.00000000E+00 0.25115537E+01 0.45978939E-02
 0.52955964E+01 0.59081786E-01 0.72000000E+01 0.00000000E+00 0.24918280E+01 0.48680621E-02
 0.53055964E+01 0.62653273E-01 0.72000000E+01 0.00000000E+00 0.24721622E+01 0.51526059E-02
 0.53155964E+01 0.66420963E-01 0.72000000E+01 0.00000000E+00 0.24525559E+01 0.54521845E-02
 0.53255964E+01 0.70394507E-01 0.72000000E+01 0.00000000E+00 0.24330089E+01 0.57675039E-02
 0.53355964E+01 0.74583508E-01 0.72000000E+01 0.00000000E+00 0.24135210E+01 0.60992608E-02
 0.53455964E+01 0.78998149E-01 0.72000000E+01 0.00000000E+00 0.23940919E+01 0.64481944E-02
 0.53555964E+01 0.83649311E-01 0.72000000E+01 0.00000000E+00 0.23747214E+01 0.68150948E-02
 0.53655964E+01 0.88547667E-01 0.72000000E+01 0.00000000E+00 0.23554093E+01 0.72007294E-02
 0.53755964E+01 0.93704421E-01 0.72000000E+01 0.00000000E+00 0.23361552E+01 0.76059033E-02
 0.53855964E+01 0.99131590E-01 0.72000000E+01 0.00000000E+00 0.23169589E+01 0.80314810E-02
 0.53955964E+01 0.10484071E+00 0.72000000E+01 0.00000000E+00 0.22978202E+01 0.84782821E-02
 0.54055964E+01 0.11084435E+00 0.72000000E+01 0.00000000E+00 0.22787389E+01 0.89472036E-02
 0.54155964E+01 0.11715546E+00 0.72000000E+01 0.00000000E+00 0.22597148E+01 0.94391661E-02
 0.54255964E+01 0.12378668E+00 0.72000000E+01 0.00000000E+00 0.22407475E+01 0.99550580E-02
 0.54355964E+01 0.13075162E+00 0.72000000E+01 0.00000000E+00 0.22218368E+01 0.10495841E-01
 0.54455964E+01 0.13806412E+00 0.72000000E+01 0.00000000E+00 0.22029826E+01 0.11062487E-01
 0.54555964E+01 0.14573842E+00 0.72000000E+01 0.00000000E+00 0.21841845E+01 0.11655991E-01
 0.54655964E+01 0.15378912E+00 0.72000000E+01 0.00000000E+00 0.21654424E+01 0.12277372E-01
 0.54755964E+01 0.16223142E+00 0.72000000E+01 0.00000000E+00 0.21467559E+01 0.12927690E-01
 0.54855964E+01 0.17108002E+00 0.72000000E+01 0.00000000E+00 0.21281250E+01 0.13607954E-01
 0.54955964E+01 0.18035083E+00 0.72000000E+01 0.00000000E+00 0.21095493E+01 0.14319264E-01
 0.55055964E+01 0.19005915E+00 0.72000000E+01 0.00000000E+00 0.20910286E+01 0.15062664E-01
 0.55155964E+01 0.20022167E+00 0.72000000E+01 0.00000000E+00 0.20725628E+01 0.15839300E-01
 0.55255964E+01 0.21085372E+00 0.72000000E+01 0.00000000E+00 0.20541514E+01 0.16650201E-01
 0.55355964E+01 0.22197238E+00 0.72000000E+01 0.00000000E+00 0.20357945E+01 0.17496528E-01
 0.55455964E+01 0.23359340E+00 0.72000000E+01 0.00000000E+00 0.20174916E+01 0.18379330E-01
 0.55555964E+01 0.24573381E+00 0.72000000E+01 0.00000000E+00 0.19992426E+01 0.19299746E-01
